Species,UJ_lateral_rotation,LJ_dorsoventral_flexion,Jaws_anteroposterior_motion,NC_ventral_rotation,Pelvic_ventral_contraction,Lateral_headflick
Acanthurus_bahianus,1,1,0,0,0,0
Acanthurus_bahianus,1,0,0,0,0,0
Acanthurus_bahianus,1,0,0,1,1,1
Acanthurus_bahianus,1,0,0,1,1,1
Acanthurus_bahianus,1,0,0,1,1,1
Acanthurus_bahianus,1,0,0,1,1,1
Acanthurus_bahianus,1,1,0,0,0,1
Acanthurus_bahianus,1,0,1,0,0,1
Acanthurus_bahianus,1,0,0,0,0,0
Acanthurus_bahianus,1,0,0,0,0,1
Acanthurus_bahianus,1,0,0,0,0,1
Acanthurus_bahianus,1,0,0,0,0,1
Acanthurus_bahianus,1,0,0,0,0,1
Acanthurus_bahianus,1,1,0,1,0,1
Acanthurus_bahianus,1,0,0,0,0,1
Acanthurus_bahianus,1,0,0,1,0,1
Acanthurus_bahianus,1,1,1,1,0,1
Acanthurus_bahianus,1,1,1,1,0,0
Acanthurus_bahianus,1,0,0,0,0,1
Acanthurus_chirurgus,1,0,0,0,0,1
Acanthurus_chirurgus,1,0,0,0,0,1
Acanthurus_chirurgus,1,1,0,0,1,1
Acanthurus_chirurgus,0,0,0,0,0,1
Acanthurus_chirurgus,1,0,1,0,1,1
Acanthurus_chirurgus,1,0,0,0,1,1
Acanthurus_chirurgus,0,1,0,1,1,0
Acanthurus_chirurgus,0,0,0,1,1,1
Acanthurus_chirurgus,1,0,1,0,0,0
Acanthurus_chirurgus,1,1,1,1,1,1
Acanthurus_chirurgus,1,0,0,0,1,1
Acanthurus_chirurgus,1,1,0,0,1,1
Acanthurus_chirurgus,1,1,0,0,1,1
Acanthurus_chirurgus,1,0,0,0,0,1
Acanthurus_chirurgus,0,0,0,0,0,1
Acanthurus_chirurgus,1,0,0,0,0,1
Acanthurus_chirurgus,1,0,1,1,1,1
Acanthurus_chirurgus,0,0,0,1,1,1
Acanthurus_chirurgus,1,0,1,1,1,1
Acanthurus_chirurgus,0,1,0,1,1,1
Acanthurus_chirurgus,1,0,1,0,1,1
Acanthurus_chirurgus,1,0,1,1,0,1
Acanthurus_chirurgus,1,1,0,1,1,1
Acanthurus_chirurgus,1,1,0,1,1,1
Acanthurus_chirurgus,1,0,0,0,1,1
Acanthurus_chirurgus,1,1,1,1,1,1
Acanthurus_coeruleus,1,0,0,1,1,1
Acanthurus_coeruleus,0,0,0,1,1,0
Acanthurus_coeruleus,0,0,1,1,0,0
Acanthurus_coeruleus,1,0,1,1,1,1
Acanthurus_coeruleus,0,0,1,1,1,0
Acanthurus_coeruleus,0,0,0,1,1,1
Acanthurus_coeruleus,0,0,0,1,1,1
Acanthurus_coeruleus,0,1,0,1,1,0
Acanthurus_coeruleus,0,0,0,1,1,0
Acanthurus_coeruleus,0,0,1,1,1,1
Acanthurus_coeruleus,0,1,0,1,1,1
Acanthurus_coeruleus,0,1,1,1,1,0
Acanthurus_coeruleus,0,0,1,1,1,0
Acanthurus_coeruleus,0,1,1,1,1,0
Acanthurus_coeruleus,0,0,0,1,1,0
Acanthurus_coeruleus,0,1,0,1,1,0
Acanthurus_coeruleus,0,0,1,1,1,0
Acanthurus_coeruleus,1,0,0,1,1,1
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0,1,1,0
