Genus,species,pred_uj,uj_ratio
Acanthurus,achilles,V,0.513121885
Acanthurus,bahianus,L,0.983192827
Acanthurus,blochii,L,0.904210945
Acanthurus,chirurgus,L,0.858131608
Acanthurus,coeruleus,L,0.907004516
Acanthurus,gahhm,L,0.967430208
Acanthurus,japonicus,V,0.68902439
Acanthurus,leucosternon,V,0.610380993
Acanthurus,lineatus,V,0.762107801
Acanthurus,maculiceps,L,0.986613119
Acanthurus,mata,L,0.873362445
Acanthurus,nigricans,V,0.557478315
Acanthurus,nigricauda,L,0.852876912
Acanthurus,nigrofuscus,L,0.851460062
Acanthurus,nigroris,L,0.891819386
Acanthurus,olivaceus,L,0.913549873
Acanthurus,pyroferus,L,0.875515958
Acanthurus,sohal,V,0.699423617
Acanthurus,tennentii,L,0.950334253
Acanthurus,thompsoni,L,0.976167779
Acanthurus,triostegus,V,0.74879
Acanthurus,xanthopterus,L,0.839473684
Naso,brevirostris,L,0.967259511
Naso,elegans,L,0.902812849
Naso,lituratus,L,0.87631269
Naso,vlamingii,L,0.943964509
Paracanthurus,hepatus,L,0.936303971
Prionurus,laticlavius,V,0.559257331
Prionurus,punctatus,V,0.274300932
Zebrasoma,desjardinii,L,0.907388652
Zebrasoma,flavescens,V,0.704971988
Zebrasoma,scopas,V,0.768820631
Zebrasoma,velifer,L,0.906597143
Zebrasoma,xanthurum,L,0.799163386
Ctenochaetus,strigosus,X,0.163173071
Ctenochaetus,binotatus,X,0.146083463
Ctenochaetus,striatus,X,0.130555859
Acanthurus,guttatus,V,0.614796
